university,in-state,out-of-state,source
Carnegie Mellon University,63829,63829,https://www.usnews.com/best-colleges/carnegie-mellon-university-3242/paying
Massachusetts Institute of Technology,60156,60156,https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178/paying
Stanford University,62484,62484,https://www.usnews.com/best-colleges/stanford-university-1305/paying
University of California--Berkeley,15891,48465,https://www.usnews.com/best-colleges/university-of-california-berkeley-1312/paying
University of Illinois--Urbana-Champaign,17572,36068,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775/paying
Cornell University,66014,66014,https://www.usnews.com/best-colleges/cornell-university-2711/paying
Georgia Institute of Technology,11764,32876,https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569/paying
University of Texas--Austin,11698,41070,https://www.usnews.com/best-colleges/university-of-texas-at-austin-3658/paying
University of Washington,12643,41997,https://www.usnews.com/best-colleges/university-of-washington-3798/paying
Princeton University,59710,59710,https://www.usnews.com/best-colleges/princeton-university-2627/paying
University of Michigan--Ann Arbor,17786,57273,https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor-9092/paying
Columbia University,65524,65524,https://www.usnews.com/best-colleges/columbia-university-2707
California Institute of Technology,63255,63255,https://www.usnews.com/best-colleges/california-institute-of-technology-1131/paying
University of California--Los Angeles,13752,46326,https://www.usnews.com/best-colleges/ucla-1315/paying
University of California--San Diego,16056,48630,https://www.usnews.com/best-colleges/university-of-california-san-diego-1317/paying
University of Wisconsin--Madison,11205,40603,https://www.usnews.com/best-colleges/university-of-wisconsin-3895/paying
Harvard University,59076,59076,https://www.usnews.com/best-colleges/harvard-university-2155/paying
University of Maryland--College Park,11505,40306,https://www.usnews.com/best-colleges/university-of-maryland-2103/paying
Purdue University--West Lafayette,9992,28794,https://www.usnews.com/best-colleges/purdue-university-west-lafayette-1825/paying
University of Pennsylvania,66104,66104,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378/paying
